KIC,Kp,T_eff,T_eff err,Power,Power err,nu_max,nu_max err,logg,logg err
7604209,10.9,6563,80,4.522422,1.505533,1919.530287,342.68504,4.258937,0.077533
7604256,12.193,6793,190,8.559518,7.58978,1341.681007,631.513984,4.11087,0.204417
7604896,13.086,4873,80,4709.633886,1038.999331,93.280278,11.56157,2.880878,0.053828
7604903,12.152,7117,208,6.228066,7.060069,1463.439033,869.940389,4.158713,0.258166
7605065,12.031,4812,80,22265.41821,4494.235352,44.40242,5.098478,2.55576,0.049868
7609378,11.259,4968,148,35153.700079,6098.828636,34.422843,3.967144,2.452128,0.050051
7610008,12.617,4551,80,57466.890482,4816.208505,29.575675,1.699116,2.367178,0.02495
7610113,13.043,4798,80,21092.120333,10905.65851,45.719819,12.254333,2.567825,0.116404
7610244,12.653,5032,161,197466.232565,324766.381609,14.680015,12.229118,2.084787,0.361787
7610274,12.501,4929,80,1315.577645,137.900791,171.365597,11.595182,3.147493,0.029386
7610417,10.829,4822,80,2830.594966,348.379564,120.750771,9.241835,2.990694,0.033239
7610610,13.444,5364,154,58.823199,40.590809,708.641602,260.481952,3.782361,0.159638
7610636,12.752,4701,80,28038.787169,30159.061678,40.626518,21.919239,2.512095,0.234315
7611069,11.625,4870,80,2041.450273,199.871557,140.128237,9.010581,3.05748,0.027926
7611346,10.962,6643,181,36.773275,2.433455,681.620173,47.699655,3.811915,0.030392
7611858,11.187,5818,80,12.707498,1.95825,1357.380178,124.358742,4.082279,0.039789
7612341,12.468,5163,158,31643.392984,7890.114221,34.7825,5.363687,2.465002,0.066971
